symbol,listing_date,first_trade_date,delta_days,status
RBSL,2010-04-16,2011-03-20,338,SUSPICIOUS_LARGE_GAP
RDBL,2012-10-30,2013-04-23,175,SUSPICIOUS_LARGE_GAP
REDBL,2009-04-07,2014-07-20,1930,SUSPICIOUS_LARGE_GAP
REDBLP,2013-06-04,2014-12-09,553,SUSPICIOUS_LARGE_GAP
RFPL,2022-06-15,2022-06-16,1,OK
RHGCL,2022-08-30,2022-08-31,1,OK
RHPL,2019-08-05,2019-08-06,1,OK
RIDGE,2026-03-25,,,NO_PRICE_HISTORY
RIDI,2014-07-06,2022-08-15,2962,SUSPICIOUS_LARGE_GAP
RJM,1988-06-17,,,NO_PRICE_HISTORY
RLFL,2013-11-15,2014-08-28,286,SUSPICIOUS_LARGE_GAP
RLFLPO,2015-04-19,2016-01-13,269,SUSPICIOUS_LARGE_GAP
RLI,2020-09-07,2020-09-08,1,OK
RMBFPO,2008-11-09,,,NO_PRICE_HISTORY
RMDC,2013-10-08,2013-10-08,0,OK
RMDCPO,2015-04-20,2017-09-25,889,SUSPICIOUS_LARGE_GAP
RMF1,2021-08-28,2021-09-02,5,OK
RMF2,2023-06-26,2023-07-30,34,OK
RNLI,2023-09-13,2023-09-17,4,OK
RRHP,2018-06-13,2018-06-24,11,OK
RSDC,2016-12-15,2017-02-08,55,OK
RSDCP,2016-12-15,2020-12-07,1453,SUSPICIOUS_LARGE_GAP
RSML,-,2026-02-16,,INVALID_LISTING_DATE
RSY,2025-06-23,2025-06-26,3,OK
RULB,2022-03-11,2022-03-13,2,OK
RURU,2021-05-02,2021-05-03,1,OK
SABBL,-,2026-02-16,,INVALID_LISTING_DATE
SABSL,2019-08-21,2019-08-22,1,OK
SADBL,2011-11-16,2011-11-16,0,OK
SADBLP,2015-12-28,2017-11-22,695,SUSPICIOUS_LARGE_GAP
SAEF,2018-02-28,2018-03-04,4,OK
SAFL,2015-10-15,2015-10-18,3,OK
SAFLPO,2015-12-31,2016-05-22,143,SUSPICIOUS_LARGE_GAP
SAGAR,2025-11-06,2025-11-09,3,OK
SAGF,2023-02-07,2023-03-15,36,OK
SAHAS,2021-10-29,2021-10-31,2,OK
SAIL,2025-11-21,2025-11-24,3,OK
SAJHA,2016-02-26,2016-04-27,61,OK
SALICO,2001-03-15,2023-05-15,8096,SUSPICIOUS_LARGE_GAP
SALICOPO,2014-10-12,2024-02-22,3420,SUSPICIOUS_LARGE_GAP
SAMAJ,2021-08-20,2023-07-17,696,SUSPICIOUS_LARGE_GAP
SANIMA,2012-02-27,2012-02-27,0,OK
SANVI,2025-07-17,2025-07-20,3,OK
SAPDBL,2019-09-29,2019-11-21,53,OK
SAPDBLP,2019-09-29,2020-11-22,420,SUSPICIOUS_LARGE_GAP
SARBTM,2024-03-18,2024-03-19,1,OK
SBBLJ,2007-05-14,2011-03-25,1411,SUSPICIOUS_LARGE_GAP
SBBLJP,2011-11-28,2011-11-28,0,OK
SBCF,2021-05-29,2021-06-09,11,OK
SBI,1995-01-17,2011-03-20,5906,SUSPICIOUS_LARGE_GAP
SBIBD86,2020-07-12,2020-09-14,64,OK
SBID83,2022-09-02,2022-10-16,44,OK
SBID89,2023-10-03,2024-01-03,92,SUSPICIOUS_LARGE_GAP
SBIPO,2009-06-08,,,NO_PRICE_HISTORY
SBL,2011-03-20,2011-03-20,0,OK
SBLD2091,2025-09-01,2025-09-23,22,OK
SBLPO,2011-06-01,2011-06-05,4,OK
SBPP,1997-06-01,,,NO_PRICE_HISTORY
SBSL,2009-04-01,2011-03-20,718,SUSPICIOUS_LARGE_GAP
SCB,1988-07-04,2011-03-20,8294,SUSPICIOUS_LARGE_GAP
SCBD,2023-07-05,2024-05-05,305,SUSPICIOUS_LARGE_GAP
SCBPO,2015-04-20,,,NO_PRICE_HISTORY
SDBD87,2021-09-06,2021-10-21,45,OK
