symbol,display_name,missing_fields,merged_date,merged_into,merged_into_name,source_title,note
SLBS,Suryodaya Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SLBS),Suryodaya Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
SLFL,Subha Laxmi Finance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SLFL),Subha Laxmi Finance Company Limited is marked as Merged on ShareSansar company page.
SLI,Sanima Life Insurance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SLI),Sanima Life Insurance Company Limited is marked as Merged on ShareSansar company page.
SLICL,Surya Life Insurance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SLICL),Surya Life Insurance Company Limited is marked as Merged on ShareSansar company page.
SMBF,Sagarmatha Merchant Banking & Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SMBF),Sagarmatha Merchant Banking & Finance Limited is marked as Merged on ShareSansar company page.
SMF,Swastik Merchant Finance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SMF),Swastik Merchant Finance Company Limited is marked as Merged on ShareSansar company page.
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SMFDB),Summit Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
SODBL,Society Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SODBL),Society Development Bank Limited is marked as Merged on ShareSansar company page.
SPARS,Sparsha Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SPARS),Sparsha Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
SRBL,Sunrise Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SRBL),Sunrise Bank Limited is marked as Merged on ShareSansar company page.
STFL,Standard Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (STFL),Standard Finance Limited is marked as Merged on ShareSansar company page.
SUBBL,Subhechha Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SUBBL),Subhechha Bikas Bank Limited is marked as Merged on ShareSansar company page.
SUPRME,Supreme Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SUPRME),Supreme Development Bank Limited is marked as Merged on ShareSansar company page.
SYFL,Synergy Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SYFL),Synergy Finance Limited is marked as Merged on ShareSansar company page.
TBBL,Triveni Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (TBBL),Triveni Bikas Bank Limited is marked as Merged on ShareSansar company page.
TDBL,Tourism Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (TDBL),Tourism Development Bank Limited is marked as Merged on ShareSansar company page.
TMDBL,Tinau Mission Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (TMDBL),Tinau Mission Development Bank Limited is marked as Merged on ShareSansar company page.
TNBL,Tinau Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (TNBL),Tinau Development Bank Limited is marked as Merged on ShareSansar company page.
UBBL,Udhyam Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (UBBL),Udhyam Bikas Bank Limited is marked as Merged on ShareSansar company page.
UFCL,Union Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (UFCL),Union Finance Limited is marked as Merged on ShareSansar company page.
UFIL,Unique Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (UFIL),Unique Finance Limited is marked as Merged on ShareSansar company page.
UFL,United Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (UFL),United Finance Limited is marked as Merged on ShareSansar company page.
UFLK,Universal Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (UFLK),Universal Finance Limited is marked as Merged on ShareSansar company page.
