open,high,low,close,percent_change,turnover,date
13215.35,13215.35,12893.71,13088.19,-0.26,128082789.2,2021-12-09
13088.2,13147.57,12580.58,12580.58,-3.88,181806045.8,2021-12-12
12487.86,12487.86,12042.78,12155.25,-3.38,189535719.8,2021-12-13
12155.25,12821.17,12154.24,12816.94,5.44,80955305.0,2021-12-14
12856.37,13258.39,12599.74,12772.97,-0.34,175771515.3,2021-12-15
12772.97,12772.97,12482.93,12509.75,-2.06,92771253.0,2021-12-16
12520.91,12540.88,12328.11,12403.74,-0.85,90893206.2,2021-12-20
12432.42,12617.35,12412.76,12610.32,1.67,84664703.1,2021-12-21
12614.15,13121.11,12614.15,13113.09,3.99,176313832.8,2021-12-22
13117.5,13386.94,12924.58,13315.57,1.54,222510260.2,2021-12-23
13446.91,14617.88,13446.91,14617.88,9.78,613645590.0,2021-12-26
14840.54,15281.98,14214.49,14322.08,-1.99,673189086.4,2021-12-27
14379.19,14379.19,13917.59,14282.83,-0.27,214346231.6,2021-12-28
14250.15,14350.67,14068.67,14210.87,-0.5,137514806.6,2021-12-29
14339.34,14562.09,14105.49,14555.16,2.42,229031084.0,2022-01-02
14582.3,14776.67,14549.66,14649.03,0.64,298264057.9,2022-01-03
14749.03,14809.55,14477.25,14809.55,1.1,239563819.3,2022-01-04
14907.59,14975.5,14628.95,14752.59,-0.38,261073511.7,2022-01-05
14728.2,14867.13,14644.3,14867.13,0.78,187566672.5,2022-01-06
14897.29,15191.88,14897.29,15162.24,1.99,344205604.1,2022-01-09
15184.15,15402.86,15042.45,15380.44,1.44,514655944.6,2022-01-10
15401.43,16076.97,15306.58,15978.16,3.89,666009270.1,2022-01-11
16062.48,16323.35,15734.57,15789.18,-1.19,511675307.9,2022-01-12
15933.07,16150.31,15778.74,16139.74,2.21,418102306.6,2022-01-13
16250.85,16656.44,16250.85,16529.25,2.41,608499719.2,2022-01-16
16614.84,16687.31,16362.72,16613.41,0.49,532231724.3,2022-01-17
16613.42,16654.62,16323.66,16415.26,-1.19,502606311.5,2022-01-18
16428.28,16522.61,16142.04,16189.39,-1.38,475457772.4,2022-01-19
16170.54,16654.94,16068.2,16654.94,2.86,583030262.1,2022-01-20
16792.29,17018.11,16792.29,16884.9,1.38,873024251.4,2022-01-23
16892.19,16909.92,16208.9,16315.11,-3.37,905657370.4,2022-01-24
16357.59,16659.55,16128.73,16387.27,0.44,814897528.8,2022-01-25
16557.07,16578.62,15958.56,16109.62,-1.69,423618005.7,2022-01-26
16251.29,16321.46,16090.67,16108.3,-0.01,397355355.3,2022-01-27
16319.83,16736.32,16319.83,16656.36,3.4,494621529.8,2022-01-30
16548.62,16852.9,16430.49,16435.04,-1.33,317333807.4,2022-01-31
16435.04,16509.57,16284.81,16419.43,-0.1,347717324.3,2022-02-01
16428.42,16632.81,16181.8,16246.69,-1.05,549533612.3,2022-02-03
16162.98,16162.98,15670.03,15682.16,-3.57,663933937.9,2022-02-06
15709.24,15827.49,15505.2,15807.12,0.8,546846339.6,2022-02-07
15923.82,16163.75,15581.55,15638.58,-1.07,369667808.7,2022-02-08
15645.84,15658.14,15368.79,15489.32,-0.97,291489642.1,2022-02-09
15489.32,15560.21,15286.92,15475.95,-0.09,319924089.3,2022-02-10
15348.75,15348.75,14785.39,14869.53,-3.91,408513504.4,2022-02-13
14849.0,15116.86,14771.71,14922.02,0.35,232228545.6,2022-02-14
14922.02,15109.05,14863.23,15109.05,1.25,203161961.1,2022-02-15
15109.05,15259.78,14955.18,15129.71,0.14,175012807.4,2022-02-16
15129.71,15130.82,14987.38,15075.1,-0.36,144267728.7,2022-02-17
14943.78,14958.03,14663.24,14707.99,-2.44,220077894.9,2022-02-20
14707.99,14821.51,14644.68,14727.18,0.13,238858119.2,2022-02-21
14727.18,14869.63,14694.22,14734.26,0.05,140716195.0,2022-02-22
14734.26,14803.83,14588.36,14653.01,-0.55,116609506.1,2022-02-23
14672.62,14672.62,14162.8,14236.05,-2.86,270492549.5,2022-02-24
14151.86,14312.72,14051.18,14120.15,-0.81,207008050.3,2022-02-27
14120.15,14259.71,13753.11,13824.66,-2.09,264232213.1,2022-02-28
13824.66,13881.43,13279.09,13371.1,-3.28,302080046.3,2022-03-02
13371.1,13447.4,13149.0,13207.93,-1.22,243892789.5,2022-03-06
13207.93,13339.51,12993.75,13057.62,-1.14,188184536.6,2022-03-07
13057.62,13132.05,12795.79,12918.59,-1.06,141127835.0,2022-03-09
12939.93,13291.38,12810.71,13291.38,2.89,193275747.8,2022-03-10
13382.76,14213.54,13382.76,14213.54,6.94,489637032.5,2022-03-13
14357.33,14467.8,14065.1,14367.12,1.08,233453810.9,2022-03-14
14367.99,14606.65,14217.3,14473.63,0.72,377121302.1,2022-03-15
14473.63,14594.63,14372.58,14416.55,-0.39,281643845.1,2022-03-16
14427.23,14557.62,14174.69,14219.46,-1.37,312747768.8,2022-03-20
14296.04,14391.81,14155.1,14391.81,1.21,191859481.2,2022-03-21
14395.4,14745.2,14395.4,14660.69,1.87,200660107.8,2022-03-22
14643.81,14660.93,14448.7,14534.38,-0.86,184975584.7,2022-03-23
14574.59,15019.76,14464.98,14904.42,2.55,592673480.8,2022-03-24
15181.57,15674.55,14777.95,14805.81,-0.66,1259081156.9,2022-03-27
14817.1,14887.6,14415.26,14462.49,-2.32,345363243.6,2022-03-28
14462.49,14593.89,14144.37,14242.85,-1.52,196251391.1,2022-03-29
14281.6,14454.25,14070.87,14454.25,1.48,252744204.3,2022-03-30
14454.25,14539.54,14236.97,14277.96,-1.22,198897710.0,2022-03-31
14277.96,14289.25,14028.82,14060.97,-1.52,277868479.7,2022-04-03
14079.11,14191.25,13899.12,13943.52,-0.84,182772189.6,2022-04-04
13928.25,13948.17,13425.75,13511.23,-3.1,347403118.9,2022-04-05
13511.23,13628.0,13350.63,13440.51,-0.52,208402526.6,2022-04-06
13440.51,13798.02,13419.91,13702.87,1.95,207556953.3,2022-04-07
13712.77,14034.77,13226.14,13271.05,-3.15,362125644.8,2022-04-11
13312.0,13384.25,13028.2,13056.83,-1.61,142324646.0,2022-04-12
13044.15,13213.74,12948.83,13152.06,0.73,117011263.8,2022-04-13
13155.69,13302.25,12884.74,12951.2,-1.53,128022412.9,2022-04-17
12951.2,12979.87,12673.98,12687.24,-2.04,118992442.7,2022-04-18
12675.54,12871.22,12544.5,12784.9,0.77,113695456.3,2022-04-19
12784.9,12852.19,12518.88,12538.43,-1.93,100114618.8,2022-04-20
12538.43,12646.09,12346.14,12612.57,0.59,140868536.3,2022-04-21
12612.57,13101.27,12602.76,13035.94,3.36,203284738.4,2022-04-24
13035.94,13191.77,12808.76,12836.63,-1.53,139937120.3,2022-04-25
12836.63,12928.64,12671.54,12740.78,-0.75,66965131.7,2022-04-26
12810.81,12864.0,12597.49,12741.02,0.0,69101234.2,2022-04-27
12764.03,12829.47,12543.2,12595.36,-1.18,96066595.5,2022-04-28
12679.06,12749.64,12204.78,12253.1,-2.72,120301928.9,2022-05-02
12253.1,12293.82,11951.73,11966.28,-2.34,103037574.8,2022-05-04
12004.55,12024.37,11666.97,11744.39,-2.17,201561785.5,2022-05-05
11744.39,11782.97,11463.14,11782.97,0.33,128052469.1,2022-05-08
11782.97,11839.94,11666.48,11700.85,-0.7,130282537.5,2022-05-09
11700.85,11951.73,11700.81,11937.66,2.02,75675493.8,2022-05-10
11930.13,12154.83,11930.13,12154.83,1.82,125669044.9,2022-05-11
12154.83,12274.0,11857.62,11897.69,-2.12,298470211.2,2022-05-12
11897.69,11897.69,11293.91,11305.09,-4.98,172122549.5,2022-05-17
11305.09,11342.76,11068.57,11206.19,-0.87,145756376.0,2022-05-18
11206.19,11289.77,11008.31,11033.9,-1.54,89635986.9,2022-05-19
11033.9,11113.35,10851.4,10911.14,-1.11,83925056.6,2022-05-20
10911.14,10987.88,10556.89,10625.26,-2.62,135916665.4,2022-05-23
10623.35,10798.6,10558.56,10702.0,0.72,69021221.2,2022-05-24
10765.66,10915.33,10735.15,10768.51,0.62,74760238.5,2022-05-25
10768.51,10897.38,10733.73,10858.39,0.83,74398220.9,2022-05-26
10858.39,11004.79,10723.31,10779.57,-0.73,76225469.2,2022-05-27
10733.36,10945.93,10435.84,10472.88,-2.85,106896764.0,2022-05-30
10472.88,10472.88,10155.29,10401.05,-0.69,113300681.9,2022-05-31
10401.05,10401.05,10118.62,10245.19,-1.5,94425138.5,2022-06-01
10245.19,10271.39,10055.2,10098.58,-1.43,83542464.0,2022-06-02
10091.53,10101.61,9848.01,9861.92,-2.34,83260168.2,2022-06-03
9861.92,9948.81,9656.73,9663.6,-2.01,187025680.4,2022-06-06
9663.6,9725.46,9542.97,9576.43,-0.9,88439571.5,2022-06-07
9576.43,10013.94,9558.37,9869.56,3.06,112243375.8,2022-06-08
9869.56,10075.96,9804.68,9848.26,-0.22,126324900.4,2022-06-09
9904.1,9904.1,9654.14,9779.32,-0.7,69502844.2,2022-06-10
9750.67,9761.36,9598.93,9641.2,-1.41,87363493.8,2022-06-13
9641.2,9684.68,9396.17,9454.31,-1.94,94891028.6,2022-06-14
9454.31,9482.51,9134.51,9264.74,-2.01,122346728.8,2022-06-15
9264.62,9363.31,9197.3,9269.7,0.05,63855612.4,2022-06-16
9269.7,9328.4,9214.95,9266.77,-0.03,32335687.6,2022-06-17
9266.77,9281.06,9114.23,9144.09,-1.32,56412467.6,2022-06-19
9144.09,9144.09,8878.21,8909.46,-2.57,121366435.6,2022-06-20
8909.46,9185.3,8854.15,9112.65,2.28,117992191.3,2022-06-21
9112.65,9137.92,8917.72,8980.43,-1.45,78554161.8,2022-06-22
8980.43,9011.68,8688.3,8837.05,-1.6,95927935.1,2022-06-23
8837.05,9105.56,8623.48,8968.5,1.49,85516878.7,2022-06-24
8968.5,9355.32,8968.5,9338.75,4.13,185326885.1,2022-06-26
9330.95,9581.31,9244.56,9452.7,1.22,196319724.2,2022-06-27
9452.7,9673.51,9280.26,9549.6,1.03,180126796.3,2022-06-28
9575.73,9700.87,9500.09,9673.46,1.3,129152250.9,2022-06-29
9673.46,10021.18,9641.59,9969.52,3.06,200003523.1,2022-06-30
9969.52,10065.1,9833.65,9935.66,-0.34,123736198.7,2022-07-01
9935.66,10120.25,9875.49,10106.25,1.72,112239805.6,2022-07-03
10128.21,10475.16,10065.22,10164.93,0.58,315825741.3,2022-07-04
10186.89,10220.38,9925.84,9949.01,-2.12,161493763.1,2022-07-05
10004.24,10225.06,9884.64,10215.33,2.68,230464399.0,2022-07-06
10289.01,10460.56,10059.19,10100.16,-1.13,159375072.2,2022-07-07
10158.98,10220.04,9874.85,9907.09,-1.91,88010656.8,2022-07-08
9907.09,9927.29,9405.84,9456.87,-4.54,222650033.1,2022-07-11
9456.87,9602.4,9383.27,9468.0,0.12,116774781.5,2022-07-12
9468.0,9646.7,9468.0,9638.34,1.8,116100863.2,2022-07-13
9638.34,9749.45,9564.11,9650.12,0.12,144043272.4,2022-07-14
9650.12,9707.46,9586.61,9688.19,0.39,46899247.8,2022-07-15
9688.19,9741.65,9630.91,9703.39,0.16,44461988.0,2022-07-17
9703.39,9820.45,9630.83,9820.45,1.21,122209840.5,2022-07-18
9806.98,9939.92,9773.4,9900.67,0.82,89882647.5,2022-07-19
9900.67,9938.88,9798.13,9872.45,-0.29,60542452.5,2022-07-20
9872.07,9925.94,9721.73,9721.73,-1.52,84171612.7,2022-07-21
9721.73,9769.65,9600.29,9612.06,-1.13,71829822.3,2022-07-22
9612.06,9827.26,9612.06,9819.83,2.16,70274060.8,2022-07-24
9819.83,10034.34,9819.83,10034.34,2.15,141680188.4,2022-07-25
10052.95,10077.46,9885.66,9900.63,-1.33,169393209.1,2022-07-26
9900.63,9970.76,9844.31,9935.42,0.35,94451106.5,2022-07-27
9935.42,10111.05,9887.14,9950.53,0.15,170860876.2,2022-07-28
10007.12,10033.94,9915.09,9958.43,0.08,55866977.1,2022-07-29
9926.52,10341.25,9926.52,10339.41,4.16,345334702.1,2022-07-31
10438.48,10531.01,10291.52,10333.62,-0.19,213441882.2,2022-08-01
10392.81,10392.81,10200.79,10270.99,-0.61,99660977.0,2022-08-02
10270.99,10320.61,10190.81,10197.27,-0.72,124780919.5,2022-08-03
10197.27,10197.27,10017.24,10029.44,-1.65,128235541.2,2022-08-04
10029.44,10050.53,9909.4,9909.45,-1.2,86971294.6,2022-08-05
